code,terms,primary,note
9021,hearing aid;orthopaedic appliances,yes,Orthopaedic appliances and hearing aids.
9022,x ray equipment;radiography;radiotherapy,yes,Apparatus based on X-rays and other radiation.
902212,ct scanner;computed tomography;x ray machine,yes,X-ray apparatus including computed tomography.
902213,dental x ray,yes,X-ray apparatus for dental use.
902221,radiotherapy equipment;gamma therapy,yes,Apparatus based on alpha, beta or gamma radiation for medical use.
902290,x ray tube;x ray generator;xray parts,yes,X-ray tubes, generators and parts.
9025,thermometer;pyrometer;hygrometer,yes,Thermometers, pyrometers and hygrometers.
9027,analysis instruments;spectrometer;chromatograph,yes,Instruments for physical and chemical analysis.
902710,gas analyser;smoke analyser;gas detector,yes,Gas and smoke analysis apparatus.
902750,spectrophotometer;optical radiation instrument;colorimeter,yes,Instruments using optical radiation - UV, visible and IR.
9030,test and measurement;instrumentation;electrical test equipment,yes,Instruments for measuring and checking electrical quantities.
903031,multimeter;digital multimeter;dmm,yes,Multimeters without a recording device.
903032,recording multimeter;logging multimeter,yes,Multimeters with a recording device.
903033,voltmeter;ammeter;ohmmeter;power meter;electrical tester,yes,Instruments for measuring voltage, current, resistance or power, without a recording device.
903039,recording electrical instrument;power analyser,yes,Instruments for measuring voltage, current, resistance or power, with a recording device.
903040,telecom test equipment;network analyser;spectrum analyser;bit error tester,yes,Instruments designed specifically for telecommunications.
903082,wafer prober;ic tester;semiconductor test equipment;ate,yes,Instruments for measuring or checking semiconductor wafers and devices.
903084,other recording instrument,no,
903089,other electrical test instrument,no,
903090,oscilloscope;test equipment parts;measurement instrument parts,yes,Instruments for measuring electrical quantities not elsewhere specified, and their parts.
9032,automatic controls;regulators;controllers,yes,Automatic regulating and controlling instruments.
903220,manostat;pressure regulator,yes,Automatic manostats.
903281,hydraulic controller;pneumatic controller,yes,Automatic hydraulic and pneumatic regulating instruments.
903289,controller;plc;thermostat;automatic regulator;process controller,yes,Automatic regulating and controlling instruments not covered elsewhere in 9032.8.

# ===========================================================================
# CHAPTER 91 - clocks and watches
# ===========================================================================
91,clocks;watches;timekeeping;horology,yes,Chapter 91 - clocks, watches and their movements.
9101,luxury watch;precious metal watch,yes,Wrist-watches with a case of precious metal.
9102,watch;wrist watch;quartz watch,yes,Wrist-watches other than precious metal.
910211,analog watch;mechanical display watch,yes,Electrically operated wrist-watches with a mechanical display.
910212,smartwatch;smart watch;digital watch;fitness band;wearable,yes,Electrically operated wrist-watches with an opto-electronic display.
9103,clock with watch movement,yes,Clocks with watch movements.
910310,alarm clock small;travel clock,no,
9105,clocks;clock,yes,Clocks other than those with watch movements.
910511,alarm clock;digital alarm clock,yes,Electrically operated alarm clocks.
910591,wall clock;desk clock;electric clock,yes,Electrically operated clocks other than alarm or wall clocks.
9106,time recorder;attendance machine,yes,Time recording apparatus.
910610,time register;punch clock;attendance recorder,yes,Time registers and time recorders.
910690,other time recording apparatus,no,
9108,watch movements,yes,Complete assembled watch movements.
910811,watch movement mechanical display,yes,Electrically operated watch movements with a mechanical display.
910819,solar watch movement,yes,Solar-cell watch movements without a mechanical display.
9109,clock movements,yes,Complete assembled clock movements.

# ===========================================================================
# CHAPTERS 32-76, 95, 96 - inputs, consumables and enclosures
# These are in the definition because electronics manufacturing consumes
# them, not because they are electronics. The vocabulary reflects that.
# ===========================================================================
32,paints;coatings;varnishes,yes,Chapter 32 - paints, varnishes and coatings.
3208,paint;varnish;coating,yes,Paints and varnishes in a non-aqueous medium.
34,lubricants;lubricating preparations,yes,Chapter 34 - lubricating and surface-active preparations.
3403,lubricant;lubricating preparation,yes,Lubricating preparations.
35,adhesives;glues,yes,Chapter 35 - glues, adhesives and enzymes.
3506,adhesive;glue;bonding agent,yes,Prepared glues and adhesives.
39,plastics;polymers;plastic materials,yes,Chapter 39 - plastics and plastic articles.
3903,styrene polymer;polystyrene;abs resin,yes,Styrene polymers in primary form.
3907,polyester resin;pet resin;polycarbonate resin,yes,Polyesters in primary form.
3908,polyamide;nylon resin,yes,Polyamides in primary form.
3919,adhesive film;self adhesive plastic tape,yes,Self-adhesive plastic sheet, film and tape.
391910,adhesive tape roll;narrow adhesive film,yes,Self-adhesive plastic film in rolls up to 20 cm wide.
391990,adhesive sheet;protective film;die cut film,yes,Self-adhesive plastic sheet other than narrow rolls.
3920,plastic sheet;plastic film,yes,Non-adhesive plastic plates, sheet and film.
392099,plastic sheet other;camera lens film,yes,Plastic sheet and film not covered elsewhere in 3920.
3923,plastic packaging;plastic containers,yes,Plastic articles for conveying and packing goods.
392329,plastic bag;poly bag;esd bag,yes,Plastic sacks and bags for packing goods.
392350,plastic cap;plastic lid;closure,yes,Plastic stoppers, lids and closures.
392390,plastic tray;plastic packaging other;component tray,yes,Plastic packing articles not covered elsewhere in 3923.
3926,plastic parts;plastic components,yes,Plastic articles not specified elsewhere in chapter 39.
392690,plastic part;plastic housing;plastic enclosure;plastic moulding,yes,Plastic articles not elsewhere specified - the residual plastics line.
40,rubber;rubber articles,yes,Chapter 40 - rubber and rubber articles.
4016,rubber parts;rubber components,yes,Articles of vulcanised rubber.
401693,gasket;o-ring;rubber seal;washer rubber,yes,Rubber gaskets, washers and seals.
401699,rubber part;rubber moulding;rubber foot,yes,Rubber articles not elsewhere specified.
42,cases;bags;carrying cases,yes,Chapter 42 - cases, bags and similar containers.
4202,carry case;laptop bag;equipment case,yes,Cases, bags and similar containers.
48,paper;paperboard;paper packaging,yes,Chapter 48 - paper, paperboard and packaging.
4819,carton;packaging box;corrugated box,yes,Paper and paperboard cartons, boxes and cases.
481910,corrugated box;shipping carton,yes,Cartons and boxes of corrugated paper or paperboard.
481920,folding carton;printed box;retail box,yes,Folding cartons and boxes of non-corrugated paperboard.
4821,label;paper label,yes,Paper and paperboard labels.
482110,printed label;barcode label,yes,Printed paper labels.
482190,blank label;unprinted label,yes,Unprinted paper labels.
4823,paper articles;paper packaging other,yes,Paper, paperboard and cellulose articles not elsewhere specified.
49,printed matter;printed materials,yes,Chapter 49 - printed books, manuals and other printed matter.
4901,manual;printed book;user guide,yes,Printed books, brochures and leaflets.
4911,printed matter;printed sheet;instruction sheet,yes,Printed matter not elsewhere specified.
59,technical textiles;industrial fabrics,yes,Chapter 59 - textile products for technical uses.
5911,technical textile;filter fabric;polishing cloth,yes,Textile products for technical uses.
73,iron and steel articles;steel components;metal fabrication,yes,Chapter 73 - articles of iron or steel.
7318,fastener;screw;bolt;nut;washer,yes,Iron or steel screws, bolts, nuts and washers.
731815,screw;bolt;machine screw,yes,Threaded iron or steel screws and bolts.
731816,nut;hex nut;threaded nut,yes,Threaded iron or steel nuts.
7326,steel part;metal fabrication,yes,Iron or steel articles not elsewhere specified.
732690,metal part;steel bracket;chassis;metal stamping;sheet metal part,yes,Iron or steel articles not elsewhere specified - brackets, chassis and stampings.
74,copper;copper articles,yes,Chapter 74 - copper and copper articles.
7410,copper foil;copper laminate,yes,Copper foil.
741021,copper clad laminate;ccl;backed copper foil,yes,Copper foil backed with paper, plastic or similar material - CCL for PCBs.
75,nickel;nickel articles,yes,Chapter 75 - nickel and nickel articles.
7508,nickel part;nickel article,yes,Nickel articles.
750890,nickel component;nickel strip,yes,Nickel articles not elsewhere specified.
76,aluminium;aluminum;aluminium articles,yes,Chapter 76 - aluminium and aluminium articles.
7616,aluminium part;aluminium article,yes,Aluminium articles.
761699,aluminium enclosure;heat sink;aluminium casting;aluminium bracket,yes,Aluminium articles not elsewhere specified - enclosures and heat sinks.
83,base metal fittings;metal mountings,yes,Chapter 83 - miscellaneous articles of base metal.
8311,welding electrode;soldering wire;brazing rod,yes,Wire and rods for soldering, brazing and welding.
95,toys;games;gaming,yes,Chapter 95 - toys, games and sports equipment.
9504,gaming console;video game console;playstation;xbox;nintendo,yes,Video game consoles and machines.
96,miscellaneous manufactured articles,yes,Chapter 96 - miscellaneous manufactured articles.
9612,printer ribbon;ink ribbon,yes,Typewriter and printer ribbons.
9613,lighter;ignition device,yes,Cigarette and other lighters.

# ---- gaps filled after the first coverage pass -----------------------------
841821,upright freezer;standalone refrigerator;single door fridge,yes,Refrigerators of the household compression type other than combined fridge-freezers.
841830,chest freezer;horizontal freezer,yes,Chest-type freezers up to 800 litres.
841840,vertical freezer;upright freezer cabinet,yes,Upright freezers up to 900 litres.
482390,paper article;paper insert;paper packaging other,yes,Paper and cellulose articles not elsewhere specified.
850421,distribution transformer small;pole transformer,yes,Liquid-dielectric transformers up to 650 kVA.
850422,distribution transformer;liquid transformer medium,yes,Liquid-dielectric transformers from 650 to 10000 kVA.
853590,high voltage apparatus other;hv switching apparatus,yes,Switching and protection apparatus above 1000 V not covered elsewhere in 8535.
901210,electron microscope;scanning electron microscope;sem;diffraction apparatus,yes,Electron and other non-optical microscopes and diffraction apparatus.
854159,photosensitive device other;optical semiconductor other,yes,Photosensitive semiconductor devices not covered elsewhere in 8541.
853229,fixed capacitor other;special capacitor,yes,Fixed capacitors not covered elsewhere in 8532.
903089,electrical instrument other;non recording test instrument,yes,Electrical measuring instruments without a recording device not covered elsewhere.
903084,recording test instrument;data logger,yes,Electrical measuring instruments with a recording device not covered elsewhere.
852729,car radio receiver other,yes,Vehicle radio receivers not covered elsewhere in 8527.2.
851310,torch;flashlight;portable lamp;head torch,yes,Portable electric lamps with their own source of energy.
852713,portable radio with recorder;boombox;pocket radio,yes,Self-powered radio receivers combined with a recorder or clock.
853922,filament bulb small;low wattage incandescent lamp,yes,Filament lamps up to 200 W for above 100 V.
853331,wirewound potentiometer;wirewound variable resistor,yes,Wirewound variable resistors up to the lower power band.
853339,wirewound rheostat;high power variable resistor,yes,Wirewound variable resistors above the lower power band.
854011,colour picture tube;colour crt,yes,Colour cathode-ray television picture tubes.
854012,monochrome picture tube;black and white crt,yes,Monochrome cathode-ray television picture tubes.
854060,cathode ray tube other,yes,Cathode-ray tubes not covered elsewhere in 8540.
854089,valve or tube other;special purpose tube,yes,Valves and tubes not covered elsewhere in 8540.
854150,semiconductor device unspecified,yes,Photosensitive semiconductor devices and photovoltaic cells not otherwise specified.
850630,mercuric oxide cell,yes,Primary mercuric-oxide cells.
850680,primary cell other;special primary battery,yes,Primary cells of chemistries not otherwise specified.
850740,nickel iron battery,yes,Nickel-iron accumulators.
852419,display module without drivers other,yes,Display modules without drivers, other than LCD or OLED.
852842,crt computer monitor;cathode ray computer monitor,yes,Cathode-ray monitors designed for a computer.
852849,crt monitor;cathode ray monitor,yes,Cathode-ray monitors not designed for a computer.
852792,clock radio;radio alarm,yes,Radio receivers combined with a clock.
853223,single layer ceramic capacitor;slcc,yes,Fixed single-layer ceramic capacitors.
850432,transformer small dry type;control transformer medium,yes,Dry-type transformers from 1 to 16 kVA.
850433,transformer medium dry type,yes,Dry-type transformers from 16 to 500 kVA.
850434,transformer large dry type,yes,Dry-type transformers above 500 kVA.
910310,clock with watch movement;instrument clock,yes,Electrically operated clocks fitted with a watch movement.
910690,time recording apparatus other,yes,Time recording apparatus not covered elsewhere in 9106.
844311,offset press reel fed;web offset press,yes,Reel-fed offset printing machinery.
844312,office offset press;small sheet offset press,yes,Sheet-fed office-type offset printing machinery.

# ---- codes carrying pre-HS-2022 history ------------------------------------
# The workbook mixes HS vintages. These lines were split or retired in
# HS 2022, so they return data for earlier years only. That is not a defect:
# they carry the history of their successors, which is exactly what a long
# series needs. Flagged here so search says so rather than looking broken.
851712,mobile phone pre-2022;cellular telephone hs2017,yes,Retired in HS 2022 - split into 851713 smartphones and 851714 other cellular phones. Carries pre-2022 history.
854140,photosensitive semiconductor pre-2022;led hs2017;solar cell hs2017,yes,Retired in HS 2022 - split into 854141 LEDs, 854142/854143 photovoltaic cells and 854149. Carries pre-2022 history.
910291,other electric watch,yes,Wrist-watches, electrically operated, not covered by 910211 or 910212.
910812,watch movement opto-electronic display,yes,Complete assembled watch movements with an opto-electronic display only.
910910,clock movement complete,yes,Complete assembled clock movements, electrically operated.
831120,welding wire;cored wire;mig wire,yes,Cored wire of base metal for electric arc welding.
340391,textile lubricant;treatment lubricant,yes,Lubricating preparations for treating textiles and leather.
