hs8,description,display_name
85291092,AERIAL PARTS FR AMTR RADIO COMMNCN EQPTMNT,Aerial parts for amateur radio
85291099,AERIAL PARTS FR OTHR USE,"Aerial parts, other uses"
85299010,OTHE PARTS FR COMMNCN JAMMNG EQPTMNTS,Parts for jamming equipment
85299020,OTHE PARTS FR AMTR RADIO COMMNCN EQPTMNT,Parts for amateur radio
85299030,OPEN CELL FOR TELEVISION SET,Open cells for televisions
85299090,OTHE PARTS FR OTHR USE,"Broadcast and display parts, other"
85311010,BURGLAR ALARM,Burglar alarms
85311020,FIRE ALARM,Fire alarms
85311090,OTHR ALARM,"Alarms, other"
85312000,INDICATOR PANELS INCRPRTNG LQD CRYSTAL DEVICES(LCD)/LIGHT EMITTING DIODES(LED),LCD and LED indicator panels
85318000,OTHER ELECTRIC SOUND/VISUAL SIGNLNG APPRTS,"Signalling apparatus, other"
85319000,PARTS OF SIGNALING/TRAFFIC CONTROL EQPMNT,Signalling apparatus parts
85321000,FXD CPCTRS DSGND FR USE IN 50/60 HZ CRCTS HVNG A REACTIVE PWR HNDLNG CAPACITY OF NT LESS THN 0.5 KVAR(PWR CAPACITORS),Power factor capacitors
85322100,"OTHR FXD CAPACITORS,TANTALUM",Tantalum capacitors
85322200,"OTHR FXD CAPACITORS,ALMNM ELECTRLYTC",Aluminium electrolytic capacitors
85322300,"OTHR FXD CAPACITORS,CERAMIC DIELECTRIC,SINGLE LAYER",Single-layer ceramic capacitors
85322400,"OTHR FXD CAPACITORS,CERAMIC DIELECTRIC,MULTILAYER",Multilayer ceramic capacitors
85322500,OTHR FXD CAPACTRS DIELCTRC OF PAPR/PLSTCS,Paper and plastic film capacitors
85323000,VARIABLE/ADJUSTABLE (PRE-SET) CAPPCITORS,Variable capacitors
85329000,PARTS OF HDNG 8532,Capacitor parts
85331000,"FXD CRBN RESISTORS,COMPOSITION/FILM TYPES",Fixed carbon resistors
85332111,ELCTRCL RESISTANCE WIRE BARE NICHROME,"Bare nichrome resistance wire, to 20W"
85332119,ELCTRCL RESISTANCE WIRE BARE OTHER THAN NICHROME,"Bare resistance wire, to 20W"
85332121,"ELCTRCL RESISTANCE WIRES,INSLTD NICHROME","Insulated nichrome wire, to 20W"
85332129,"ELCTRCL RESISTANCE WIRE,INSULATED OTHER THAN NICHROME","Insulated resistance wire, to 20W"
85332911,"ECTRCL RESISTANCE WIRE,BARE,NICHROME","Bare nichrome resistance wire, above 20W"
85332919,"ELCTRCL RESISTANCE WIRE,BARE, OTHER THAN NICHROME","Bare resistance wire, above 20W"
85332921,"ELCTRCL RESISTANCE WIRE,INSLTD NICHROME","Insulated nichrome wire, above 20W"
85332929,"ELCTRCL RESISTANCE WIRE,INSLTD EXCL NICHRM","Insulated resistance wire, above 20W"
85333110,POTENTIOMETERS,"Potentiometers, wirewound to 20W"
85333120,RHEOSTATS,"Rheostats, wirewound to 20W"
85333190,"OTHERS-OF-WIREWOUND VARIABLE RESISTRS,INCL RHEOSTATSAND POTENTIOMETERS FR A PWR HNDLNGCAPACITY NOT EXCEEDING 20 W","Wirewound variable resistors, to 20W"
85333910,POTENTIOMETERS,"Potentiometers, wirewound above 20W"
85333920,RHEOSTATS,"Rheostats, wirewound above 20W"
85333990,OTHERS-OF-OTHR WIREWND VARIABLE RESISTORS INCLRHEOSTATS AND POTENTIOMETERS FR A PWR HANDLING CAPACITY MORE THAN 20 W,"Wirewound variable resistors, above 20W"
85334010,POTENTIOMETERS,"Potentiometers, other"
85334020,RHEOSTATS,"Rheostats, other"
85334030,THERMISTORS,Thermistors
85334090,"OTHERS-OF-OTHER VARIABLE RESISTORS, INCLUDING RHEOSTATS AND POTENTIOMETERS :","Variable resistors, other"
85339000,PARTS OF ARTICLES OF HEADING 8533,Resistor parts
85340000,PRINTED CIRCUITS,Printed circuits
85364100,RELAYS FR A VLTG NT EXCDG 60 V,Relays to 60 volts
85364900,OTHER RELAYS,Relays above 60 volts
85371010,FOR USE IN GOODS OF CHAPTER 88 OR 89 OR 93,Control panels for aircraft and ships
85371090,OTHERS-OF-FOR A VOLTAGE NOT EXCEEDING 1000V,"Control panels to 1000 volts, other"
85372000,BORDS ETC FOR A VOLTAGE>1000 VLTS,Control panels above 1000 volts
85381010,"BORDS,PANELS,CONSOLES ETC.FR INDSTRL USE","Panel enclosures, industrial"
85381090,"BORDS,PANELS,CONSOLES ETC.FR OTHR USE","Panel enclosures, other"
85389000,OTHER PARTS OF HDG 8538,Switchgear and panel parts
85401110,CTV PCTR TUB 20/21 EXCEPT 21 FAND FST,"Colour picture tubes, 20 to 21 inch"
85401120,VIDEO MONITOR CATHODE-RAY TUBES,"Video monitor tubes, colour"
85401190,"OTHERS-OF-CATHODE-RAY TV PICTURE TUBES,INCLUDNG VIDEO MONITOR-CATHODE-RAY TUBES-COLOUR","Colour picture tubes, other"
85401200,"CATHODE-RAY TV PICTURE TUBES,INCL VIDEO MONITOR CATHODE-RAY TUBES BLACK AND WHITE/OTHR MONOCHROME",Monochrome picture tubes
85402000,TV CAMERA TUBES IMAGE CNVRTRS AND INTENSFIRS;OTHR PHOTO-CATHODE TUBES,Camera tubes and image intensifiers
85404010,"DATA/GRAPHIC DISPLAY TUBES, MONOCHROME","Graphic display tubes, monochrome"
85404020,"DATA/GRAPHIC DISPLAY TUBES, COLOUR, WITH A PHOSPHOR DOT SCREEN PITCH SMALLER THAN 0.4 MM","Graphic display tubes, fine-pitch colour"
85406000,OTHER CATHODE-RAY TUBES,"Cathode ray tubes, other"
85407100,MAGNETRONS,Magnetrons
85407900,OTHR MICROWAVE TUBES EXCL GRID CNTRLLD TUBES,"Microwave tubes, other"
85408100,RECEIVER/AMPLIFIER VALVES AND TUBES,Receiver and amplifier valves
85408900,OTHER VALVES AND TUBES,"Valves and tubes, other"
85409100,PARTS OF CATHODE-RAY TUBES,Cathode ray tube parts
85409900,OTHR PRTS OF THE TUBS AND VLVS OF HDG 8540,"Valve and tube parts, other"
85411000,"DIODES,OTHER THAN PHOTOSENSITIVE OR LIGHT EMITTING DIODES","Diodes, excluding photosensitive"
85412100,"TRNSISTRS,OTHR THN PHOTOSENSITV TRNSISTRS WTH A DISSIPATION RATE OF LESS THN 1 W",Transistors below 1W
85412900,"OTHER TRANSISTOR,OTHER THAN PHOTOSENSITIVE TRANSISTORS","Transistors, 1W and above"
85413010,THYRISTORS,Thyristors
85413090,"OTHERS-OF-THYRISTORS,DIACS AND TRIACS,OTHER THN PHOTOSENSITIVE DEVICES",Diacs and triacs
85414100,Light-emiting diodes (LED),Light-emitting diodes
85414200,Photovoltaic cells not assembled in modules or made up into panels,"Photovoltaic cells, unassembled"
85414300,Photovoltaic cells assembled in modules or made up into panels,Solar modules and panels
85414900,"OTHERS-OF-OTHERS-OF-SEMCOND DVS[SCD]( DIOD,TRNSTR,TRNSDCER); P SENST [SCD],P VOLT IF WITH MDL/ OF PNEL, LED,IF WITH LED;MTD PI","Photosensitive devices, other"
85415100,Semiconductor -based transducers,Semiconductor transducers
85415900,"OTHERS-OF-OTHERS-OF-SEMCOND DVS[SCD]( DIOD,TRNSTR,TRNSDCER); P SENST [SCD],P VOLT IF WITH MDL/ OF PNEL, LED,IF WITH LED;MTD PI","Semiconductor devices, other"
85416000,MOUNTED PIEZO-ELECTRIC CRYSTALS,Mounted piezo-electric crystals
85419000,PARTS OF ITEMS OF HDNG 8541,Semiconductor device parts
85423100,MONOLITHIC INTEGRATED CIRCUITS - DIGITAL,Digital monolithic circuits
85423200,MEMORIES,Memory circuits
85423300,AMPLIFIERS,Amplifier circuits
85423900,OTHERS-OF-OTHERS-OF-ELCTRNC INTEGRTD CIRCUITS AND MICRO-ASSMBLS,"Integrated circuits, other"
85429000,PARTS OF ELECTRONIC INTGRTD CIRCTS AND MICRO ASSMBLIES,Integrated circuit parts
85431010,ION IMPLANTERS FR DOPING SEMI-CONDUCTOR MATERIALS,Ion implanters
85431020,"VANDE GRAAFF,CLOCK-CROFT,WALTER ACCELETORS",Van de Graaff accelerators
85431030,"SYNCHROCYCLOTRONS,SYNCHROTRONS",Synchrotrons and cyclotrons
85431090,OTHERS (E.G. CYCLOTRONS),"Particle accelerators, other"
85432010,SWEEP GENERATORS,Sweep generators
85432020,IMPULSE GENERATOR,Impulse generators
85432030,TACHO GENERATOR,Tacho generators
85432090,OTHERS (E.G. PATTERN GENERATOR),"Signal generators, other"
85433000,"MACHINES AND APPARATUS FOR ELECTRO-PLATING, ELECTROLYSIS/ELECTROPHORESIS",Electroplating and electrolysis machines
85434000,Electronic cigarettes and similar personal electric vaporising devices,Electronic cigarettes
85437011,PROXIMITY CARDS AND TAGS,Proximity cards and tags
85437012,METAL DETECTOR,Metal detectors
85437013,MINE DETECTOR,Mine detectors
85437019,ELECTRIC FENCE ENERGISERS,Electric fence energisers
85437021,DIGITAL REVERBERATORS,Digital reverberators
85437022,MIXING SYSTEMS OR CONSOLES,Audio mixing consoles
85437029,OTHER AUDIO SPECIAL EFFECT EQUIPMENTS,"Audio effects equipment, other"
85437031,VIDEO MIXING SYSTEM OR CONSOLES,Video mixing consoles
85437032,VIDEO EFFECT SYSTEM,Video effects systems
85437033,DIGITAL LAYERING MACHINE,Digital layering machines
85437034,PAINT BOX,Paint boxes
85437035,VIDEO TYPEWRITER,Video typewriters
85437036,VIDEO MATTING MACHINES,Video matting machines
85437039,OTHER VIDEO SPECIAL EFFECT EQUIPMENTS,"Video effects equipment, other"
85437041,SYSTM CONTRLLNG >3 VIDEO EDITNG MACHNS,Multi-machine edit controllers
85437042,OTHER VIDEO CONTROL UNITS,"Video control units, other"
85437049,OTHER EDIT CONTROL UNITS,"Edit control units, other"
85437050,COLOUR CORRECTORS,Colour correctors
85437061,BROADCAST AMPLIFIER,Broadcast amplifiers
85437062,AMPLIFIER - LIMITNG/VIDEO DISTRN/STABLSNG,Distribution and limiting amplifiers
85437069,OTHER AMPLIFIER,"Amplifiers, other"
85437071,GRAPHIC EQUALISERS,Graphic equalisers
85437072,SYNTHESISED RECEIVERS,Synthesised receivers
85437091,RF POWER AMPLIFIERS AND NOISE GENARATORS FR COMMNCN JAMMNG EQPTMNTS,RF amplifiers for jamming
85437092,EQUIPMENT OR GADGETS BASED ON SOLAR ENERGY,Solar-powered equipment
85437093,PROFESSIONAL BEAUTY CARE EQUIPMENT,Professional beauty care equipment
85437094,AUDIO VIDEO STEREO ENCODERS,Audio-video stereo encoders
85437095,TIME CODE GENERATOR,Time code generators
85437099,OTHERS-OF-OTHER MACHINES AND APPARATUS:,"Electrical machines, other kinds"
85439000,PARTS OF ARTICLES OF HEADING 8543,Electrical machine parts
85442010,CO-AXIAL CABLE,Coaxial cable
85452000,BRUSHES,Carbon brushes
85459010,ARC LAMP CARBONS,Arc lamp carbons
85459020,BALLER CARBONS,Battery carbons
85459090,OTHERS-OF-OTHR ARTCLS USED FOR ELECTRICAL PURPOSES,"Electrical carbons, other"
90121010,ELECTRON MICROSCOPES FITTED WITH EQUIPMENTHNDLNG FR SEMICONDCTR WAFERS OR RETICLES,Electron microscopes for wafers
90121090,OTHERS-OF-MICROSCOPES OTHER THAN OPTICAL MICROSCOPESAND DIFFRACTION APPARATUS,"Electron microscopes, other"
90129000,PARTS AND ACCESSORIES OF HDG 9012,Electron microscope parts
90132000,"LASERS,OTHER THAN LASER DIODES","Lasers, excluding laser diodes"
90138000,"OTHER DEVICES,APPLIANCES ANDINSTUMENT","Optical devices, other"
90139000,PARTS AND ACCESSORIES,Optical device parts
90142000,INSTRUMENTS AND APPLIANCES FOR AERONAUTICLOR SPACE NAVIGATION(OTR THAN COMPASSES),Aeronautical navigation instruments
90148010,ECHO SOUNDING INSTRUMENTS,Echo sounding instruments
90148020,SEXTANTS,Sextants
90148090,OTHERS-OF-OTHER INSTRUMENTS AND APPLIANCES :,"Navigation instruments, other"
90158010,HYDROGRAPHIC INSTRUMENT,Hydrographic instruments
90158020,METEOROLOGICAL INSTRUMENTS,Meteorological instruments
90158030,GEOPHYSICAL INSTRUMENTS,Geophysical instruments
90158090,OTHERS-OF-OTHER INSTRUMENTS AND APPLIANCES:,"Surveying instruments, other"
90159000,"PARTS AND ACCESSORES OF SURVEYING,PHTOGRMCL,HYDROGRPHIC INSTRUMNTS ETC EXCL CMPASSES",Surveying instrument parts
90160010,ELECTRIC BALANCES,Electric balances
90172020,"MATHEMATICAL CALCULATING INSTRUMENTS; SLIDE RULES,DISC CALCULATORS AND THE LIKE",Slide rules and disc calculators
90181100,ELECTRO-CARDIOGRAPHS,Electrocardiographs
90181210,LINEAR ULTRASOUND SCANNER,Linear ultrasound scanners
90181290,OTHR ELECTRO-DIAGNOSTC APARATUS,"Ultrasound scanners, other"
90181300,MAGNETIC RESONANCE IMAGING APPARATUS,MRI scanners
90181400,SCINTIGRAPHIC APPARATUS,Scintigraphic apparatus
90181910,ELECTRO-ENAPHALOGRAPHS,Electroencephalographs
90181920,ECH0 CARDI0GRAPH,Echocardiographs
90181990,OTHR ELCTRO-DIAGNOSTC APPRTS,"Electro-diagnostic apparatus, other"
90182000,ULTRA-VIOLET/INFRA-RED RAY APPARATUS,Ultraviolet and infrared therapy
90185030,OPTHALMIC LASER,Ophthalmic lasers
90214010,FREQUENCY MODULATED HEARING AID SYSTEM,FM hearing aid systems
90214090,"OTHERS-OF-HEARING AIDS,EXCL PARTS AND ACCESSORIES","Hearing aids, other"
90215000,PACEMAKERS FOR STIMULATING HEART MUSCLES EXCL PARTS AND ACCESSORIES,Cardiac pacemakers
90221200,COMPUTED TOMOGRAPHY APPARATUS,CT scanners
90221300,OTHER APPARATUS FOR DENTAL USES,Dental X-ray apparatus
90221410,X-RAY GENERATORS AND APPARATUS (NON-PORTABLE),"X-ray generators, non-portable"
90221420,"X-RAY EXMNTN/TRTMNT TBLS,CHRS AND THE LIKE",X-ray tables and chairs
90221490,OTHER X-RAY MCHNS FR MEDCL USES,"Medical X-ray machines, other"
90221900,"APRTAS BSD ON USE OF X-RAYS,FOR OTHR USE INCL RADIOGRAPHY/RADIOTHERAPY APPARATUS","X-ray apparatus, non-medical"
90222100,"APPRTS BSD ON USE OF ALPHA,BTA/GMA RADTNS OR MEDICAL, SURGICAL,DENTAL/VETERINARY USEINCL RADIOGRAPHY/RADIOTHERAPY APP","Radiotherapy apparatus, medical"
90222900,"APPRTS BSD ON USE OF ALPHA,BTA/GMA RADTNS FR OTHR USESINCL RDOGRPHYANDRDOTHRPY APPRTS","Radiation apparatus, non-medical"
90223000,X-RAY TUBES,X-ray tubes
90229010,X-RAY VALVES,X-ray valves
90229020,RADIATION GENERATION UNITS,Radiation generation units
90229030,RADIATION BEAM DELIVERY UNITS,Radiation beam delivery units
90229040,"X-RAY EXAMN OR TRTMNT TABLE, CHAIR OR LIKE","X-ray tables and chairs, parts"
90229090,"OTHERS-OF-OTHER, INCLUDING PARTS AND ACCESSORIES :","X-ray apparatus parts, other"
90251910,DIGITAL THERMOMETERS,Digital thermometers
90271000,GAS OR SMOKE ANALYSIS APPARATUS,Gas and smoke analysers
90272000,CHROMATOGRAPHS AND ELECTROPHORESIS INSTRMNT,Chromatographs and electrophoresis
90273020,SPECTRO-PHOTOMETERS,Spectrophotometers
90273090,"OTHERS-OF-SPECTROMETERS,SPECTROPHOTOMETERS ANDSPECTOGRAPHS USING OPTICAL RADIATION","Spectrometers, other"
90275010,PHOTOMETERS,Photometers
90301000,INSTRUMENT AND APPARATUS FOR MEASURING OR DETECTING IONISING RADIATION,Ionising radiation instruments
90302000,CTHOD-RAY OSCLSCPS AND CTHOD-RAY OSCLOGRPHS,Oscilloscopes and oscillographs
90303100,MULTIMETERS,Multimeters
90303200,MULTIMETERS WITH A RECORDING DEVICE,Multimeters with recorder
90303310,"AMMETERS, VOLT METERS AND WATT METERS","Ammeters, voltmeters and wattmeters"
90303320,SPECTRUM RESISTANCE METERS,Resistance meters
90303330,CAPACITANCE METER,Capacitance meters
90303340,FREQUENCY MEASURING APPARATUS,Frequency measuring apparatus
90303350,MAGAR METER,Megger insulation testers
90303390,"OTHERS-OF-OTHER, WITHOUT A RECORDING DEVICE:","Non-recording meters, other"
90303900,"OTHER, WITH A RECORDING DEVICE","Recording meters, other"
90304000,"OTHR INSTRMNTS AND APRTS,SPCLY DSGND FR TELECOMMUNICATIONS(FR EXMPL,CRSS-TLK MTRS,GAIN MSRNG INSTRMNTS,DSTRTN FCTR M",Telecom test instruments
90308200,INSTRUMENT AND APPARATUS FR MEASRING OR CHECKING SEMI-CNDUCTOR WAFERS OR DEVICES(INCLUDING INTEGRATED CIRCUITS),Wafer and device test equipment
90308400,"OTHER, WITH A RECORDING DEVICE","Recording test instruments, other"
90308910,SCINTILLATOR COUNTERS,Scintillation counters
90308920,VECTROSCOPE,Vectorscopes
90308990,OTHERS-OF-OTHER INSTRUMENTS AND APPARATUS,"Electrical test instruments, other"
90309010,PARTS AND ACCESSORIES OF METERS AND COUNTERS,Meter and counter parts
90309090,OTHER PARTS AND ACCESSORIES,"Test instrument parts, other"
90321010,THERMOSTATS FR RFRGTNG AND AIR-CNDNG MACHNRY,Thermostats for refrigeration
90321090,THERMOSTATS FR OTHR MACHNRY,"Thermostats, other machinery"
90322010,MANOSTATS FR RFRGTNG AND AIR-CNDNG MACHNRY,Manostats for refrigeration
90322090,MANOSTATS FR OTHR MACHNRY,"Manostats, other machinery"
90328100,HYDRAULIC/PNEUMATIC INSTRUMNTS AND APPARATUS,Hydraulic and pneumatic controllers
90328910,ELCTRNC AUTOMATIC REGULATORS(CONTROLLERS),Electronic automatic regulators
90328990,OTHR ATMTC RGLTNG/CNTRLNG INSTRMNTSANDAPPRTS,"Automatic controllers, other"
90329000,PARTS AND ACCESSORIES OF INSTRMNTS OF 9032,Control instrument parts
91019110,POCKET WATCHES,"Pocket watches, precious metal"
91019120,STOP WATCHES,"Stop watches, precious metal"
91019190,OTHER WATCHES,"Watches, precious metal, other"
91021200,"WRST-WTCHS,ELECTRLY OPERATED,W/N INCRPRTNG STOP-WTCH FCLTY WTH OPTO-ELCTRNC DISPLAY",Digital display wristwatches
91029110,POCKET WATCHES,Pocket watches
91029120,STOP WATCHES,Stop watches
91029190,OTHER WATCHES,"Watches, other"
91031000,"CLCKS,ELECTRLY OPERATED,WITH WATCH MVMNTS",Clocks with watch movements
91051100,"ALARM CLOCKS,ELECTRICALLY OPERATED",Alarm clocks
91052100,"WALL CLOCKS,ELECTRICALLY OPERATED",Wall clocks
91059100,OTHR ELECTRICALLY OPERATED CLOCKS,"Clocks, other"
91061000,TIME REGISTERS;TIME RECORDERS,Time registers and recorders
91069000,OTHER TIME RCORDING APPRTS,"Time recording apparatus, other"
91081100,ELECTRLY OPERATED WATCH MVMNTS WITH MCHNCLDSPLAY/WTH DEVC WHCH INCRPRT MCHNCL DSPLAY,"Watch movements, mechanical display"
91081200,ELECTRICALLY OPERATED WATCH MOVEMENTS WITH OPTO-ELECTRONIC DISPLAY ONLY,"Watch movements, digital display"
91081900,OTHR ELECTRLY OPERATED WATCH MOVEMENTS,"Watch movements, other"
91091010,OF ALARM CLOCKS,Alarm clock movements
91091090,CLOCK MOVEMENTS OTHER THAN ELECTRICALLY OPERATED ALARM CLOCK,"Clock movements, other"
95045000,"VIDEO GAME CONSOLES AND MACHINES, OTHER THAN THOSE OF SUB-HEADING 9504 30",Video game consoles
96121010,COMPUTERS PRINTER RIBBON,Printer ribbons
96121030,RIBBON FOR ELECTRONIC TYPEWRITER,Typewriter ribbons
96138010,ELECTRONIC LIGHTER,Electronic lighters
